1N5817_SS12,1206/SOD*123,20V_1Amp,1N5817_SS12
1N5819_SS14,1206/SOD*123,40V_1Amp,1N5819_SS14
1N4001_M1,1206/SOD*123,50V_1A,M1,https://diotec.com/tl_files/diotec/files/pdf/datasheets/m1.pdf
M4,1206/SOD*123,400V_1A,M1,https://diotec.com/tl_files/diotec/files/pdf/datasheets/m1.pdf
M7,1206/SOD*123,700V_1A,M1,https://www.google.com/search?q=M7+datasheet
SS24,1206/SOD*123,40V_2Amp,SS36
RS1M,1206/SOD*123,1000V_1A,RS1M,https://www.diodes.com/assets/Datasheets/ds15002.pdf
US1M,1206/SOD*123,1000V_1A,US1M,https://www.diodes.com/assets/Datasheets/ds16008.pdf
1N5822_SS34,do214aa,40V_3Amp,1N5822_SS34
SS36,1206/SOD*123,60V_3Amp,SS36
SS26,1206/SOD*123,60V_2Amp,SS26
RS2M,1206/SOD*123,1000V_1.5A,RS2M,https://www.diodes.com/assets/Datasheets/ds15004.pdf
SS110,1206/SOD*123,100V_1Amp,SS110,https://s3.amazonaws.com/snapeda/datasheet/SS110_Taiwan_Semiconductor.pdf
SS210,1206/SOD*123,100V_2Amp,SS210,https://www.google.com/search?q=SS210+datasheet
SS220,1206/SOD*123,200V_2Amp,SS220,https://www.google.com/search?q=SS220+datasheet
SS310,1206/SOD*123,100V_3Amp,SS310
SS510,1206/SOD*123,100V_5Amp,SS510
SS16,1206/SOD*123,60V_1Amp,SS16
ES1J,1206/SOD*123/DO*214,600V_1A,ES1J,https://www.mouser.com/ds/2/258/ES1A-ES1M(HSMA)-479844.pdf
ES1D,1206/SOD*123/DO*214,200V_1A,ES1D,https://www.mouser.com/ds/2/258/ES1A-ES1M(HSMA)-479844.pdf
ES1M,1206/SOD*123/DO*214,1000V_1A,ES1M,https://www.mouser.com/ds/2/258/ES1A-ES1M(HSMA)-479844.pdf
B5819WS,SOD*323,,,
